gene_id,gene_name,comparison,raw_log2FoldChange,raw_lfcSE,stat,pvalue,padj,shrunken_log2FoldChange,shrunken_lfcSE
ENSG00000225125,RANP4,KOsiINS_vs_KOsiCONT,1.4079220574626259,2.5777553844662453,0.5461814049334835,0.5849412469351325,NA,0.004279819636546365,0.14261456967150588
ENSG00000225126,AL365194.1,KOsiINS_vs_KOsiCONT,NA,NA,NA,NA,NA,0,0.2193055520927694
ENSG00000225127,LINC00237,KOsiINS_vs_KOsiCONT,-0.19870343054644501,0.3224412305070367,-0.6162469676535633,0.5377315341799305,0.8366675946244052,-0.020826021090974062,0.10746911323810794
ENSG00000225128,LINC00972,KOsiINS_vs_KOsiCONT,NA,NA,NA,NA,NA,0,0.2193055520927694
ENSG00000225129,AL035250.1,KOsiINS_vs_KOsiCONT,-1.4603083666867323,0.8005512470570164,-1.8241285265060951,0.06813264378708514,NA,-0.044693101987036805,0.1635827066853345
ENSG00000225131,PSME2P2,KOsiINS_vs_KOsiCONT,-0.5736833747630101,0.6767348265504514,-0.8477225528458027,0.39659250328215556,NA,-0.02040368886422192,0.13264896026269835
ENSG00000225133,MORF4L1P4,KOsiINS_vs_KOsiCONT,0.04255522279461068,5.267758185255738,0.008078431336070283,0.9935544144691361,NA,3.264105228426045e-5,0.14589217319528522
ENSG00000225136,PGBD4P5,KOsiINS_vs_KOsiCONT,NA,NA,NA,NA,NA,0,0.2193055520927694
ENSG00000225137,DYNC1I2P1,KOsiINS_vs_KOsiCONT,-0.37792005494976516,0.40531736244400923,-0.9324052951271518,0.35112710931352026,0.7217073163252026,-0.029965798407738085,0.1216768676303928
ENSG00000225138,SLC9A3-AS1,KOsiINS_vs_KOsiCONT,0.2797059070933112,0.20612964608700052,1.356941674344391,0.1747997437542023,0.5632891039948065,0.0581608434360035,0.10773340803046931
ENSG00000225140,AL358216.1,KOsiINS_vs_KOsiCONT,0.04255742312810348,4.4086545424480414,0.00965315443030203,0.9922980167333544,NA,4.5805290670359994e-5,0.14463612791020747
ENSG00000225142,AC114495.1,KOsiINS_vs_KOsiCONT,NA,NA,NA,NA,NA,0,0.2193055520927694
ENSG00000225144,AC018643.1,KOsiINS_vs_KOsiCONT,NA,NA,NA,NA,NA,0,0.2193055520927694
ENSG00000225146,AC073957.1,KOsiINS_vs_KOsiCONT,NA,NA,NA,NA,NA,0,0.2193055520927694
ENSG00000225147,RPS12P10,KOsiINS_vs_KOsiCONT,NA,NA,NA,NA,NA,0,0.2193055520927694
ENSG00000225148,AL050338.1,KOsiINS_vs_KOsiCONT,NA,NA,NA,NA,NA,0,0.2193055520927694
ENSG00000225151,GOLGA2P7,KOsiINS_vs_KOsiCONT,0.1107058853297671,0.08990856488678005,1.2313163431000893,0.21820457173036034,0.6092797433521853,0.050808456725087534,0.06512599039454264
ENSG00000225152,AL160290.1,KOsiINS_vs_KOsiCONT,NA,NA,NA,NA,NA,0,0.2193055520927694
ENSG00000225154,AL450996.1,KOsiINS_vs_KOsiCONT,NA,NA,NA,NA,NA,0,0.2193055520927694
ENSG00000225155,TOMM22P5,KOsiINS_vs_KOsiCONT,NA,NA,NA,NA,NA,0,0.2193055520927694
ENSG00000225156,AC012354.1,KOsiINS_vs_KOsiCONT,-0.1985949661827784,0.707436718995151,-0.28072470773762537,0.778921556448748,NA,-0.0063460462506603746,0.1269709681888698
ENSG00000225158,HSPE1P24,KOsiINS_vs_KOsiCONT,NA,NA,NA,NA,NA,0,0.2193055520927694
ENSG00000225159,NPM1P39,KOsiINS_vs_KOsiCONT,-0.4729038278121871,0.4539242316103902,-1.0418122560552956,0.2974987307606055,NA,-0.03229811529785375,0.12809075431086067
ENSG00000225163,LINC00618,KOsiINS_vs_KOsiCONT,-1.344141094545303,0.9562922200370536,-1.4055756874119725,0.15985015973341757,NA,-0.027759603724359743,0.1480378712553799
ENSG00000225165,AC090071.1,KOsiINS_vs_KOsiCONT,-3.171344341750893,5.173859577981013,-0.612955240464497,0.5399059358149669,NA,-0.002534759433502882,0.14739455896608789
ENSG00000225166,AC012462.1,KOsiINS_vs_KOsiCONT,NA,NA,NA,NA,NA,0,0.2193055520927694
ENSG00000225167,TXNP2,KOsiINS_vs_KOsiCONT,NA,NA,NA,NA,NA,0,0.2193055520927694
ENSG00000225169,BRI3P1,KOsiINS_vs_KOsiCONT,NA,NA,NA,NA,NA,0,0.2193055520927694
ENSG00000225170,AL049737.1,KOsiINS_vs_KOsiCONT,NA,NA,NA,NA,NA,0,0.2193055520927694
ENSG00000225171,DUTP6,KOsiINS_vs_KOsiCONT,1.3791911627047835,1.341320805451826,1.028233631431819,0.303839941922854,NA,0.014757146766310472,0.14231928232100968
ENSG00000225172,AC096631.1,KOsiINS_vs_KOsiCONT,0.042511464143441105,5.267758185023527,0.00807012445337812,0.9935610421865374,NA,3.26074880907835e-5,0.14589217265459378
ENSG00000225173,AL662890.1,KOsiINS_vs_KOsiCONT,-0.007044927207253545,3.336477854887488,-0.0021114862779423762,0.9983152789503356,NA,-1.2968380321168313e-5,0.14315050406607874
ENSG00000225174,OSTM1-AS1,KOsiINS_vs_KOsiCONT,0.04262194014540806,5.267758185255738,0.008091096562614683,0.9935443094106732,NA,3.2692226491247975e-5,0.1458921740201805
ENSG00000225175,AC109780.1,KOsiINS_vs_KOsiCONT,NA,NA,NA,NA,NA,0,0.2193055520927694
ENSG00000225176,ATP5MGP4,KOsiINS_vs_KOsiCONT,NA,NA,NA,NA,NA,0,0.2193055520927694
ENSG00000225177,FLJ46906,KOsiINS_vs_KOsiCONT,0.446554303299711,0.20835317000041925,2.1432565835154436,0.03209250099880458,0.2679819133751367,0.11854327401290181,0.1486119985945565
ENSG00000225178,RPSAP58,KOsiINS_vs_KOsiCONT,0.09516066495110907,0.16440261977648069,0.5788269376758599,0.5627059529650376,0.8490725299605867,0.022759230190975373,0.08226499241109807
ENSG00000225179,LINC00457,KOsiINS_vs_KOsiCONT,NA,NA,NA,NA,NA,0,0.2193055520927694
