"collection","pathway","size","NES_max500","padj_max500","NES_max1000","padj_max1000","NES_max2000","padj_max2000"
"GO","GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS",18,0.674279819614979,0.923368256505104,0.675762883499542,0.92832539010883,0.671238130710022,0.926848604504319
"GO","GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION",23,0.777521082686897,0.851186526978846,0.777749852974933,0.859100467979438,0.782074560814771,0.843070103092784
"GO","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION",26,-1.51781212298825,0.109478887910579,-1.50703529748193,0.120918886306959,-1.51159386191159,0.105428985466913
"GO","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS",23,1.30156413040633,0.286025858961824,1.30194709005545,0.269576797943962,1.30918661670516,0.261081469031957
"GO","GOBP_ACETYL_COA_METABOLIC_PROCESS",42,1.28563637448547,0.248918637389215,1.28968026890174,0.248582693235257,1.29205768619148,0.229507947151893
"GO","GOBP_ACIDIC_AMINO_ACID_TRANSPORT",73,-1.55956946076171,0.0455743403656576,-1.54361346139754,0.054040388871615,-1.54952089838687,0.0411447320984888
"GO","GOBP_ACID_SECRETION",38,-0.889288159567513,0.735691624307807,-0.885778814691856,0.732379282192696,-0.886995868033185,0.729391829465349
"GO","GOBP_ACROSOME_ASSEMBLY",29,-0.995723960907845,0.616150480113126,-0.992758564006577,0.612566681699578,-0.995717293389545,0.609009576748645
"GO","GOBP_ACROSOME_REACTION",31,1.12929281186089,0.437638148549659,1.13140069226245,0.430614827258693,1.13910384458408,0.418993566686647
"GO","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT",130,-1.18640677001722,0.31573901111929,-1.18329404094268,0.325645896135081,-1.18257571404845,0.311127708231437
"GO","GOBP_ACTIN_FILAMENT_BASED_PROCESS",784,NA,NA,-1.31628558289343,0.00734954519463828,-1.31518467147174,0.0102891795796033
"GO","GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION",167,1.14727039473768,0.280879631765564,1.14052906448878,0.283726735941995,1.14203640867718,0.269391109868605
"GO","GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION",58,-0.957293292664591,0.657533590053476,-0.948922677739274,0.666933618263768,-0.953446242882941,0.655510084770535
"GO","GOBP_ACTIN_FILAMENT_ORGANIZATION",446,-1.12120006012245,0.333051816273194,-1.11795383862817,0.336151268174881,-1.11948698322829,0.331246963067177
"GO","GOBP_ACTIN_FILAMENT_POLYMERIZATION",146,1.16641434064867,0.259594267238097,1.1629412049004,0.266374942074976,1.1647546093589,0.255646640117404
"GO","GOBP_ACTIN_FILAMENT_SEVERING",17,1.06946258711698,0.524512615950031,1.0704615662021,0.523274725823225,1.05752310609759,0.538737803207275
"GO","GOBP_ACTIN_MEDIATED_CELL_CONTRACTION",107,-1.25360749988039,0.247443060143274,-1.2443944036108,0.255203549990243,-1.24676794548947,0.241143666471614
"GO","GOBP_ACTIN_NUCLEATION",59,-0.969194877272163,0.642878918583259,-0.960081119569927,0.650187929957462,-0.965403853069138,0.638858417136608
"GO","GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION",176,-1.14861877469861,0.358981562129096,-1.14771098998445,0.359748149880518,-1.14697068313011,0.345830921535515
"GO","GOBP_ACTION_POTENTIAL",163,-1.65282386857146,0.00196282678695223,-1.65034961870126,0.00152011372970769,-1.65171936783689,0.00240698355365859
